Id,Level,Word,Type,Turkish,English Meaning,English Example
60,A1-A2,ability ,n," yetenek, kabiliyet",the quality or state of being 'abil'.,His explanation clarified what the ability actually involves in practice.
61,A1-A2,able ,adj," yapabilir, yetenekli",able to be ''‑ed; capable or suitable.,The summary is sufficiently able for a board-level discussion.
62,A1-A2,abroad ,adv, yurt dışında,in a manner related to 'abroad'.,The system now runs abroad after the latest patch.
63,A1-A2,accept ,v, kabul etmek,to accept: to perform the action of 'accept'.,We were advised to accept carefully so we wouldn’t overlook any detail.
64,A1-A2,accident ,n, kaza,accident: a countable or uncountable noun depending on context.,His explanation clarified what the accident actually involves in practice.
65,A1-A2,according to ,prep, -a/-e göre,"a preposition expressing relation in time, place, direction, or manner.","We discussed it at length, according to reaching a final decision."
66,A1-A2,achieve ,v," başarmak, ulaşmak",to achieve: to perform the action of 'achieve'.,"She has been trying to achieve the report, but unexpected issues kept coming up."
67,A1-A2,act ,v, hareket etmek; rol almak,to act: to perform the action of 'act'.,"She has been trying to act the report, but unexpected issues kept coming up."
68,A1-A2,active ,adj," faal, hareketli",having a tendency or function to 'act'.,"Her approach is far more active than the previous one, which saves considerable time."
69,A1-A2,actually ,adv," aslında, gerçekte",in a 'actual' manner; to a 'actual' degree.,"She handled the situation actually, even though the deadline was tight."
70,A1-A2,adult ,adj, yetişkin,describing someone or something as 'adult'.,"To remain adult under pressure, you need clear priorities and regular breaks."
71,A1-A2,advantage ,n, avantaj,advantage: a countable or uncountable noun depending on context.,"Without adequate advantage, the entire plan could have fallen apart."
72,A1-A2,adventure ,n, macera,adventure: a countable or uncountable noun depending on context.,His explanation clarified what the adventure actually involves in practice.
73,A1-A2,advertise ,v, reklam yapmak,to advertise: to make or become 'advert'.,"Rather than advertise immediately, they compared the alternatives thoroughly."
74,A1-A2,advertisement ,n, reklam,the result or process of 'advertise'‑ing.,His explanation clarified what the advertisement actually involves in practice.
75,A1-A2,advertising ,n, reklamcılık,the activity or process of 'advertis'‑ing.,"The advertising played a crucial role in the outcome, though few noticed it at first."
76,A1-A2,affect ,v, etkilemek,to affect: to perform the action of 'affect'.,"If you affect consistently, you’ll see measurable progress within a few weeks."
77,A1-A2,after ,adv, sonra,in a manner related to 'after'.,The system now runs after after the latest patch.
78,A1-A2,after ,conj, -den sonra,"a conjunction linking words, phrases, or clauses to show relation (e.g., addition, contrast, cause).","We can launch now, after we should double‑check the setup first."
79,A1-A2,against ,prep, -e karşı,"a preposition expressing relation in time, place, direction, or manner.","We discussed it at length, against reaching a final decision."
80,A1-A2,ah ,excl," oooh, aha",the English word 'ah'.,"In practice, 'ah' is used in contexts where clarity matters."
81,A1-A2,airline ,n, havayolu,airline: a countable or uncountable noun depending on context.,His explanation clarified what the airline actually involves in practice.
82,A1-A2,alive ,adj, canlı,having a tendency or function to 'al'.,"Her approach is far more alive than the previous one, which saves considerable time."
83,A1-A2,all ,adv, tamamen,in a manner related to 'all'.,The system now runs all after the latest patch.
84,A1-A2,all right ,adj, iyi,describing someone or something as 'all right'.,The summary is sufficiently all right for a board-level discussion.
85,A1-A2,all right ,adv," tamam, pekâla",in a manner related to 'all right'.,"She handled the situation all right, even though the deadline was tight."
86,A1-A2,all right ,excl," peki, olur, tamam",the English word 'all right'.,"In practice, 'all right' is used in contexts where clarity matters."
87,A1-A2,allow ,v, izin vermek; olanak sağlamak,to allow: to perform the action of 'allow'.,"If you allow consistently, you’ll see measurable progress within a few weeks."
88,A1-A2,almost ,adv," hemen hemen, yaklaşık, neredeyse",in a manner related to 'almost'.,"They communicated almost, which prevented a serious misunderstanding."
89,A1-A2,alone ,adj," yalnız, tek başına",describing someone or something as 'alone'.,"To remain alone under pressure, you need clear priorities and regular breaks."
90,A1-A2,alone ,adv, yalnız,in a manner related to 'alone'.,"They communicated alone, which prevented a serious misunderstanding."
91,A1-A2,along ,adv, boyunca; yanısıra; ileri,in a manner related to 'along'.,The system now runs along after the latest patch.
92,A1-A2,along ,prep, boyunca,"a preposition expressing relation in time, place, direction, or manner.","We discussed it at length, along reaching a final decision."
93,A1-A2,already ,adv," çoktan, zaten",in a manner related to 'already'.,The system now runs already after the latest patch.
94,A1-A2,alternative ,n, alternatif,alternative: a countable or uncountable noun depending on context.,"The alternative played a crucial role in the outcome, though few noticed it at first."
95,A1-A2,although ,conj," -e rağmen, -se de, -e karşın",conjunction: introduces contrast between clauses.,"Although the budget is limited, the team remains optimistic."
96,A1-A2,among ,prep, arasında,preposition: in the middle of a group.,The rumor spread quickly among the students.
97,A1-A2,amount ,n, miktar,amount: a countable or uncountable noun depending on context.,"The amount played a crucial role in the outcome, though few noticed it at first."
98,A1-A2,ancient ,adj, eski,describing someone or something as 'ancient'.,"To remain ancient under pressure, you need clear priorities and regular breaks."
99,A1-A2,ankle ,n, ayak bileği,ankle: a countable or uncountable noun depending on context.,"Without adequate ankle, the entire plan could have fallen apart."
100,A1-A2,any ,adv," hiç, daha, biraz",in a manner related to 'any'.,"She handled the situation any, even though the deadline was tight."
101,A1-A2,any more ,adv," artık, bundan sonra",in a manner related to 'any more'.,"She handled the situation any more, even though the deadline was tight."
102,A1-A2,anybody ,pron," hiç kimse, herkes","a pronoun used to refer to a person, thing, or idea without naming it.",They said they would join if the schedule allows.
103,A1-A2,anyway ,adv," her neyse, zaten",in a manner related to 'anyway'.,"They communicated anyway, which prevented a serious misunderstanding."
104,A1-A2,anywhere ,adv," herhangi bir yer, hiçbir yer",in a manner related to 'anywhere'.,The system now runs anywhere after the latest patch.
105,A1-A2,anywhere ,pron, bir yer,"a pronoun used to refer to a person, thing, or idea without naming it.",They said they would join if the schedule allows.
106,A1-A2,app ,n, uygulama,app: a countable or uncountable noun depending on context.,His explanation clarified what the app actually involves in practice.
107,A1-A2,appear ,v," görünmek, ortaya çıkmak",to appear: to perform the action of 'appear'.,"Rather than appear immediately, they compared the alternatives thoroughly."
108,A1-A2,appearance ,n," görünüş, ortaya çıkma",appearance: a countable or uncountable noun depending on context.,His explanation clarified what the appearance actually involves in practice.
109,A1-A2,apply ,v, başvurmak; uygulamak; sürmek (krem vs),to apply: to perform the action of 'apply'.,"If you apply consistently, you’ll see measurable progress within a few weeks."
110,A1-A2,architect ,n, mimar,architect: a countable or uncountable noun depending on context.,"Without adequate architect, the entire plan could have fallen apart."
111,A1-A2,architecture ,n, mimari,architecture: a countable or uncountable noun depending on context.,His explanation clarified what the architecture actually involves in practice.
112,A1-A2,argue ,v, tartışmak; ileri sürmek,to argue: to perform the action of 'argue'.,"She has been trying to argue the report, but unexpected issues kept coming up."
113,A1-A2,argument ,n, tartışma; iddia,the result or process of 'argu'‑ing.,"The argument played a crucial role in the outcome, though few noticed it at first."
114,A1-A2,army ,n, ordu,army: a countable or uncountable noun depending on context.,"Without adequate army, the entire plan could have fallen apart."
115,A1-A2,arrange ,v," düzenlemek, ayarlamak",to arrange: to perform the action of 'arrange'.,"If you arrange consistently, you’ll see measurable progress within a few weeks."
116,A1-A2,arrangement ,n, düzenleme,the result or process of 'arrange'‑ing.,"Due to the arrangement, the team had to revise the timeline, which affected several groups."
117,A1-A2,as ,adv," -dığı için, çünkü, -dıkça, -iken, gibi",in a manner related to 'as'.,"They communicated as, which prevented a serious misunderstanding."
118,A1-A2,as ,conj, ki; madem; olduğu gibi,"a conjunction linking words, phrases, or clauses to show relation (e.g., addition, contrast, cause).","We can launch now, as we should double‑check the setup first."
119,A1-A2,asleep ,adj," uykulu, uykuda",describing someone or something as 'asleep'.,"Her approach is far more asleep than the previous one, which saves considerable time."
120,A1-A2,assistant ,adj, yardımcı,describing someone or something as 'assistant'.,The summary is sufficiently assistant for a board-level discussion.
121,A1-A2,assistant ,n, yardımcı,assistant: a countable or uncountable noun depending on context.,"Without adequate assistant, the entire plan could have fallen apart."
122,A1-A2,athlete ,n," atlet, sporcu",athlete: a countable or uncountable noun depending on context.,"Without adequate athlete, the entire plan could have fallen apart."
123,A1-A2,attack ,n, saldırı,attack: a countable or uncountable noun depending on context.,"The attack played a crucial role in the outcome, though few noticed it at first."
124,A1-A2,attack ,v, saldırmak,to attack: to perform the action of 'attack'.,"She has been trying to attack the report, but unexpected issues kept coming up."
125,A1-A2,attend ,v, katılmak,to attend: to perform the action of 'attend'.,"Rather than attend immediately, they compared the alternatives thoroughly."
126,A1-A2,attention ,excl, hazrı ol!,the English word 'attention'.,"In practice, 'attention' is used in contexts where clarity matters."
127,A1-A2,attention ,n," dikkat, ilgi, bakım",the act or process of 'atten'‑ing; or the result of it.,"Without adequate attention, the entire plan could have fallen apart."
128,A1-A2,attractive ,adj, çekici,having a tendency or function to 'attract'.,"To remain attractive under pressure, you need clear priorities and regular breaks."
129,A1-A2,audience ,n," izleyici, dinleyici",audience: a countable or uncountable noun depending on context.,"Due to the audience, the team had to revise the timeline, which affected several groups."
130,A1-A2,author ,n, yazar,a person or thing that 'auth'‑s.,"Without adequate author, the entire plan could have fallen apart."
131,A1-A2,available ,adj," hazır, mevcut; uygun, görüşmeye hazır",able to be 'avail'‑ed; capable or suitable.,"To remain available under pressure, you need clear priorities and regular breaks."
132,A1-A2,average ,adj," ortalama, sıradan",describing someone or something as 'average'.,The summary is sufficiently average for a board-level discussion.
133,A1-A2,average ,n, ortalama,average: a countable or uncountable noun depending on context.,His explanation clarified what the average actually involves in practice.
134,A1-A2,avoid ,v," sakınmak, kaçınmak",to avoid: to perform the action of 'avoid'.,"Rather than avoid immediately, they compared the alternatives thoroughly."
135,A1-A2,award ,n, ödül,award: a countable or uncountable noun depending on context.,"Due to the award, the team had to revise the timeline, which affected several groups."
136,A1-A2,awful ,adj," berbat, kötü",full of 'aw'; having a lot of it.,"Her approach is far more awful than the previous one, which saves considerable time."
137,B1-B2,absolutely ,adv," kesinlikle, tamamen",in a 'absolute' manner; to a 'absolute' degree.,"She handled the situation absolutely, even though the deadline was tight."
138,B1-B2,academic ,adj, akademik,related to or characteristic of 'academ'.,"Her approach is far more academic than the previous one, which saves considerable time."
139,B1-B2,access ,n," erişim, ulaşım",access: a countable or uncountable noun depending on context.,"Due to the access, the team had to revise the timeline, which affected several groups."
140,B1-B2,access ,v," erişmek, ulaşmak",to access: to perform the action of 'access'.,"She has been trying to access the report, but unexpected issues kept coming up."
141,B1-B2,accommodation ,n, barınma,the act or process of 'accommod'‑ing; or the result of it.,"Due to the accommodation, the team had to revise the timeline, which affected several groups."
142,B1-B2,account ,n, hesap; anlatım,account: a countable or uncountable noun depending on context.,"The account played a crucial role in the outcome, though few noticed it at first."
143,B1-B2,achievement ,n, başarı,the result or process of 'achieve'‑ing.,"Without adequate achievement, the entire plan could have fallen apart."
144,B1-B2,act ,n," hareket, eylem",act: a countable or uncountable noun depending on context.,"Due to the act, the team had to revise the timeline, which affected several groups."
145,B1-B2,ad ,n, reklam,ad: a countable or uncountable noun depending on context.,His explanation clarified what the ad actually involves in practice.
146,B1-B2,addition ,n, ekleme,the act or process of 'addi'‑ing; or the result of it.,His explanation clarified what the addition actually involves in practice.
147,B1-B2,admire ,v, hayran olmak,to admire: to perform the action of 'admire'.,"If you admire consistently, you’ll see measurable progress within a few weeks."
148,B1-B2,admit ,v," kabul etmek, itiraf etmek",to admit: to perform the action of 'admit'.,"She has been trying to admit the report, but unexpected issues kept coming up."
149,B1-B2,advanced ,adj," ileri, gelişmiş",describing someone or something as 'advanced'.,The summary is sufficiently advanced for a board-level discussion.
150,B1-B2,advise ,v," tavsiye vermek, öğüt vermek",to advise: to make or become 'adv'.,We were advised to advise carefully so we wouldn’t overlook any detail.
151,B1-B2,afford ,v," gücü yetmek ( maddi), karşılamak",to afford: to perform the action of 'afford'.,We were advised to afford carefully so we wouldn’t overlook any detail.
152,B1-B2,age ,v," yaşlanmak, yıllanmak",to age: to perform the action of 'age'.,"She has been trying to age the report, but unexpected issues kept coming up."
153,B1-B2,aged ,adj, yaşlı,describing someone or something as 'aged'.,"Although the plan looked aged at first, it turned out to be highly effective."
154,B1-B2,agent ,n," temsilci; faktör, ajan",agent: a countable or uncountable noun depending on context.,"Without adequate agent, the entire plan could have fallen apart."
155,B1-B2,agreement ,n, anlaşma,the result or process of 'agree'‑ing.,"Without adequate agreement, the entire plan could have fallen apart."
156,B1-B2,ahead ,adv," onden, ileri",in a manner related to 'ahead'.,The system now runs ahead after the latest patch.
157,B1-B2,aim ,n," amaç, hedef",aim: a countable or uncountable noun depending on context.,"Without adequate aim, the entire plan could have fallen apart."
158,B1-B2,aim ,v," amaçlamak, hedeflemek",to aim: to perform the action of 'aim'.,"Rather than aim immediately, they compared the alternatives thoroughly."
159,B1-B2,alarm ,n, alarm,alarm: a countable or uncountable noun depending on context.,"The alarm played a crucial role in the outcome, though few noticed it at first."
160,B1-B2,album ,n, albüm,album: a countable or uncountable noun depending on context.,"Without adequate album, the entire plan could have fallen apart."
161,B1-B2,alcohol ,n, alkol,alcohol: a countable or uncountable noun depending on context.,"Without adequate alcohol, the entire plan could have fallen apart."
162,B1-B2,alcoholic ,adj," alkollü, alkolik",related to or characteristic of 'alcohol'.,"Although the plan looked alcoholic at first, it turned out to be highly effective."
163,B1-B2,alternative ,adj, alternatif,having a tendency or function to 'alternat'.,"Her approach is far more alternative than the previous one, which saves considerable time."
164,B1-B2,amazed ,adj, şaşırmış,describing someone or something as 'amazed'.,"Although the plan looked amazed at first, it turned out to be highly effective."
165,B1-B2,ambition ,n," hırs, tutku; amaç, hedef",the act or process of 'ambi'‑ing; or the result of it.,"Due to the ambition, the team had to revise the timeline, which affected several groups."
166,B1-B2,ambitious ,adj, hırslı,having the quality of 'ambit'.,The summary is sufficiently ambitious for a board-level discussion.
167,B1-B2,analyse ,v, incelemek,to analyse: to perform the action of 'analyse'.,"She has been trying to analyse the report, but unexpected issues kept coming up."
168,B1-B2,analysis ,n, inceleme,analysis: a countable or uncountable noun depending on context.,"The analysis played a crucial role in the outcome, though few noticed it at first."
169,B1-B2,announce ,v," duyurmak, anons yapmak",to announce: to perform the action of 'announce'.,We were advised to announce carefully so we wouldn’t overlook any detail.
170,B1-B2,announcement ,n," duyuru, ilan, anons",the result or process of 'announce'‑ing.,"The announcement played a crucial role in the outcome, though few noticed it at first."
171,B1-B2,annoy ,v," canını sıkmak, kızdırmak",to annoy: to perform the action of 'annoy'.,"If you annoy consistently, you’ll see measurable progress within a few weeks."
172,B1-B2,annoyed ,adj," kızgın, sinirli",describing someone or something as 'annoyed'.,"Although the plan looked annoyed at first, it turned out to be highly effective."
173,B1-B2,annoying ,adj, can sıkıcı,describing someone or something as 'annoying'.,"Her approach is far more annoying than the previous one, which saves considerable time."
174,B1-B2,apart ,adv, ayrı,in a manner related to 'apart'.,"She handled the situation apart, even though the deadline was tight."
175,B1-B2,apologize ,v, özür dilemek,to apologize: to make or become 'apolog'.,We were advised to apologize carefully so we wouldn’t overlook any detail.
176,B1-B2,application ,n," uygulama; başvuru, aplikasyon",the act or process of 'applic'‑ing; or the result of it.,"The application played a crucial role in the outcome, though few noticed it at first."
177,B1-B2,appointment ,n," randevu, atama",the result or process of 'appoint'‑ing.,"The appointment played a crucial role in the outcome, though few noticed it at first."
178,B1-B2,appreciate ,v," beğenmek, takdir etmek",to appreciate: to perform the action of 'appreciate'.,"She has been trying to appreciate the report, but unexpected issues kept coming up."
179,B1-B2,approximately ,adv, yaklaşık olarak,in a 'approximate' manner; to a 'approximate' degree.,The system now runs approximately after the latest patch.
180,B1-B2,arrest ,n, tutuklama,arrest: a countable or uncountable noun depending on context.,"Due to the arrest, the team had to revise the timeline, which affected several groups."
181,B1-B2,arrest ,v, tutuklamak,to arrest: to perform the action of 'arrest'.,We were advised to arrest carefully so we wouldn’t overlook any detail.
182,B1-B2,arrival ,n," varış, geliş",arrival: a countable or uncountable noun depending on context.,His explanation clarified what the arrival actually involves in practice.
183,B1-B2,assignment ,n," atama, görev, ödev",the result or process of 'assign'‑ing.,His explanation clarified what the assignment actually involves in practice.
184,B1-B2,assist ,v," yardım etmek, desteklemek",to assist: to perform the action of 'assist'.,"Rather than assist immediately, they compared the alternatives thoroughly."
185,B1-B2,atmosphere ,n, atmosfer; ortam,atmosphere: a countable or uncountable noun depending on context.,"The atmosphere played a crucial role in the outcome, though few noticed it at first."
186,B1-B2,attach ,v, iliştirmek,to attach: to perform the action of 'attach'.,"If you attach consistently, you’ll see measurable progress within a few weeks."
187,B1-B2,attitude ,n," tutum, fikir, düşünce",attitude: a countable or uncountable noun depending on context.,"Without adequate attitude, the entire plan could have fallen apart."
188,B1-B2,attract ,v," çekmek, cezbetmek",to attract: to perform the action of 'attract'.,"Rather than attract immediately, they compared the alternatives thoroughly."
189,B1-B2,attraction ,n," çekicilik, cazibe",the act or process of 'attrac'‑ing; or the result of it.,"Without adequate attraction, the entire plan could have fallen apart."
190,B1-B2,authority ,n," yetki, otorite",the quality or state of being 'author'.,"Without adequate authority, the entire plan could have fallen apart."
191,B1-B2,average ,v," belli bir ortalamayı tutturmak, ulaşmak",to average: to perform the action of 'average'.,We were advised to average carefully so we wouldn’t overlook any detail.
192,B1-B2,award ,v, ödüllendirmek,to award: to perform the action of 'award'.,"If you award consistently, you’ll see measurable progress within a few weeks."
193,B1-B2,aware ,adj," farkında, haberdar, ters avare",describing someone or something as 'aware'.,"Her approach is far more aware than the previous one, which saves considerable time."
194,B1-B2,,,,the English word 'nan'.,"In practice, 'nan' is used in contexts where clarity matters."
195,B1-B2,abandon ,v," terk etmek, bırakmak",to abandon: to perform the action of 'abandon'.,"If you abandon consistently, you’ll see measurable progress within a few weeks."
196,B1-B2,absolute ,adj," tam, kesin",describing someone or something as 'absolute'.,"To remain absolute under pressure, you need clear priorities and regular breaks."
197,B1-B2,absorb ,v," emmek, soğurmak",to absorb: to perform the action of 'absorb'.,We were advised to absorb carefully so we wouldn’t overlook any detail.
198,B1-B2,abstract ,adj, soyut,describing someone or something as 'abstract'.,The summary is sufficiently abstract for a board-level discussion.
199,B1-B2,academic ,n," akademik, akademik personel, üniversite hocası",academic: a countable or uncountable noun depending on context.,"Due to the academic, the team had to revise the timeline, which affected several groups."
200,B1-B2,accent ,n," aksan, şive",accent: a countable or uncountable noun depending on context.,"The accent played a crucial role in the outcome, though few noticed it at first."
201,B1-B2,acceptable ,adj, kabul edilebilir,able to be 'accept'‑ed; capable or suitable.,"Her approach is far more acceptable than the previous one, which saves considerable time."
202,B1-B2,accidentally ,adv," kazara, tesadüfen",in a 'accidental' manner; to a 'accidental' degree.,"They communicated accidentally, which prevented a serious misunderstanding."
203,B1-B2,accommodate ,v, barındırmak,to accommodate: to perform the action of 'accommodate'.,"She has been trying to accommodate the report, but unexpected issues kept coming up."
204,B1-B2,accompany ,v," eşlik etmek, arkadaslik(company)",to accompany: to perform the action of 'accompany'.,"If you accompany consistently, you’ll see measurable progress within a few weeks."
205,B1-B2,accomplish ,v," başarmak, tamamlamak",to accomplish: to perform the action of 'accomplish'.,We were advised to accomplish carefully so we wouldn’t overlook any detail.
206,B1-B2,account ,v, açıklamak(hesaplamak),to account: to perform the action of 'account'.,"If you account consistently, you’ll see measurable progress within a few weeks."
207,B1-B2,accountant ,n," hesap tutma, sayma, muhasebeci",accountant: a countable or uncountable noun depending on context.,His explanation clarified what the accountant actually involves in practice.
208,B1-B2,accuracy ,n, doğruluk,accuracy: a countable or uncountable noun depending on context.,His explanation clarified what the accuracy actually involves in practice.
209,B1-B2,accurate ,adj," doğru, isabetli, eksiksiz",describing someone or something as 'accurate'.,"Her approach is far more accurate than the previous one, which saves considerable time."
210,B1-B2,accurately ,adv," doğru biçimde, eksiksiz isabetli bicimde",in a 'accurate' manner; to a 'accurate' degree.,"They communicated accurately, which prevented a serious misunderstanding."
211,B1-B2,accuse ,v, suçlamak,to accuse: to perform the action of 'accuse'.,"She has been trying to accuse the report, but unexpected issues kept coming up."
212,B1-B2,acid ,n, asit,acid: a countable or uncountable noun depending on context.,His explanation clarified what the acid actually involves in practice.
213,B1-B2,acknowledge ,v," kabul etmek, tanımak, (turetilmis bilgi)",to acknowledge: to perform the action of 'acknowledge'.,"She has been trying to acknowledge the report, but unexpected issues kept coming up."
214,B1-B2,acquire ,v," kazanmak, edinmek",to acquire: to perform the action of 'acquire'.,"She has been trying to acquire the report, but unexpected issues kept coming up."
215,B1-B2,activate ,v, harekete geçirmek,to activate: to perform the action of 'activate'.,"She has been trying to activate the report, but unexpected issues kept coming up."
